,Unnamed: 0,scenario,mmsi,ship_type,width,length,draught,nav_status,timestamp,lat,lon,sog,cog,timestamp_obj,ts_mmsi,R_x,R_y,theta,V_x,V_y,f_min,DDV,TDV,V_TDV,V_chg,cog_TDV,cog_chg,theta_rad,distance,ts_dot,DDV_dot,cog_dot,sog_dot,distance_dot
6,6,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976660.0,56.124046,11.095069,11.6,2.033333333333246,2020-01-02 15:51:00,232003642,4.355833596387206,-0.2962847400873266,179.62666666666678,-38.66153681201828,-1.2674185112004135,0.6984346603721809,0.301565339627819,0.1068767701632463,11.5,-0.0086206896551723,1.7572263462221194,-0.2761069871111268,3.135076757715683,4.365898643649909,60.0,-1.940147083850004e-05,0.11666666666667425,0.0,-0.05475393999570525
12,12,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976720.0,56.127282,11.095279,11.566666666666666,1.9999999999998863,2020-01-02 15:52:00,232003642,4.02025636711142,-0.3082595152824888,-179.91999999999985,-38.78764018667465,-1.377306730386112,0.7191137632867086,0.2808862367132914,0.0978051428603005,11.5,-0.0057636887608068,1.0244305466665755,-0.9755694533333106,-3.140196390188195,4.032057190326311,60.0,-0.003446517152421271,-0.005555555555559977,-0.005555555555555536,-0.055640242220599635
18,18,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976780.0,56.13050466666667,11.095461333333333,11.5,1.699999999999875,2020-01-02 15:53:00,232003642,3.6868811583028354,-0.3173168766366552,179.68000000000006,-38.84282577986541,-1.0606165707409374,0.6670050905731182,0.3329949094268818,0.089621249012649,11.5,0.0,0.7999999999998977,-0.8999999999999773,3.1360075999834125,3.70051113707916,60.0,0.008684778785598405,-0.0500000000000019,-0.011111111111111072,-0.05525767554119184
24,24,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976840.0,56.13371566666667,11.095571333333334,11.5,1.8333333333332007,2020-01-02 15:54:00,232003642,3.3532399865887945,-0.3126118853499993,171.20350877192993,-38.75373626755693,1.2891412844207846,0.3059241929674058,0.6940758070325942,0.0835174676058723,11.5,0.0,1.4799999999999045,-0.3533333333332962,2.988064919037171,3.3677803667282253,60.0,0.06018014960095206,0.02222222222222096,0.0,-0.05545512839182246
30,30,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976900.0,56.1368834,11.0957683,11.5,2.029999999999916,2020-01-02 15:55:00,232003642,3.026133780692989,-0.3064105086525366,174.34272727272742,-37.877421978389705,0.1930973190069017,0.4500358242941117,0.5499641757058883,0.0755287244764178,11.5,0.0,1.535993430302912,-0.4940065696970039,3.0428546178156073,3.041606986193967,60.0,-0.02401860522111765,0.032777777777785864,0.0,-0.05436223008904303
36,36,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976960.0,56.1400915,11.0959955,11.5,2.2299999999999045,2020-01-02 15:56:00,232003642,2.704107257108771,-0.3072664407178746,175.57909090909106,-37.50584430675503,-0.2895180073073181,0.5100172529855777,0.4899827470144223,0.067141709539656,11.5,0.0,1.8726375359998693,-0.357362464000035,3.064433234022083,2.72150853820813,60.0,-0.009996904781911,0.03333333333333144,0.0,-0.053349741330972845
42,42,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577977020.0,56.143260727272725,11.096256636363636,11.5,2.3909090909089628,2020-01-02 15:57:00,232003642,2.384291807975644,-0.3065291930827638,173.52727272727293,-36.89423128878129,0.1064391926462378,0.4589985285196839,0.5410014714803161,0.059784558340372,11.5,0.0,1.320963580807971,-1.0699455101009918,3.028622251097073,2.4039150508684237,60.0,0.008503120744315631,0.026818181818176374,0.0,-0.052932247889951066
48,48,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577977080.0,56.14641018181818,11.096416272727271,11.5,0.9909090909089856,2020-01-02 15:58:00,232003642,2.0668022446999195,-0.3084696949961786,177.64242424242434,-37.67048357089468,-0.0211029264422297,0.4922105040405377,0.5077894959594622,0.0508983425357856,11.5,0.0,1.5258722639998812,0.5349631730908956,3.100445194254898,2.0896949709054815,60.0,-0.005535329253475644,-0.23333333333332953,0.0,-0.05237001332715704
54,54,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577977140.0,56.1496596,11.09654,11.5,1.4799999999999045,2020-01-02 15:59:00,232003642,1.7397771908486803,-0.3090873109560997,178.22000000000003,-37.897297106348525,-0.4959413940453937,0.5268755524997449,0.473124447500255,0.0415322264235871,11.5,0.0,1.9749070999998768,0.4949070999999727,3.1105257929042947,1.7670199884527051,60.0,-0.005777508076534534,0.08151515151515315,0.0,-0.0537791637421294
60,60,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577977200.0,56.1528178,11.0967008,11.5,1.899999999999864,2020-01-02 16:00:00,232003642,1.4157816548015212,-0.3126645038516827,176.7500000000001,-38.05030327177784,-0.3709693459108179,0.5125074532996148,0.4874925467003852,0.032600817738682,11.5,0.0,2.69874249696957,0.7987424969697061,3.0848694528999796,1.4498954396925843,60.0,0.002394683200021702,0.06999999999999325,0.0,-0.052854091460020146
